"Jewelers Pickleball League
  2026",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Schedule,Team,Team,Category,Points,Court,Details
8.00-8.30,Paramount Rangers,Maru Royals,AB,2,14,SESSION 1
,Dink Dawgs,Pickle Ballers,AB,2,16,
,Su's Crew,Smash Bros,AB,2,5,
,Sanghavi Smashers,Giants,AB,2,7,
,Legends,Pickle Pals,AB,2,8,
,Paddle Battle,Dink Responsibly,AB,2,10,
,Modani Mavericks,Grand Slammers,AB,2,12,
,Paramount Rangers,Maru Royals,CC,2,15,
,Dink Dawgs,Pickle Ballers,CC,2,17,
,Su's Crew,Smash Bros,CC,2,6,
,Sanghavi Smashers,Giants,CC,2,18,
,Legends,Pickle Pals,CC,2,9,
,Paddle Battle,Dink Responsibly,CC,2,11,
,Modani Mavericks,Grand Slammers,CC,2,13,
8.30-9.00,Paramount Rangers,Maru Royals,WW,2,14,
,Dink Dawgs,Pickle Ballers,WW,2,16,
,Su's Crew,Smash Bros,WW,2,5,
,Sanghavi Smashers,Giants,WW,2,7,
,Legends,Pickle Pals,WW,2,8,
,Paddle Battle,Dink Responsibly,WW,2,10,
,Modani Mavericks,Grand Slammers,WW,2,12,
,Paramount Rangers,Maru Royals,BB,3,15,
,Dink Dawgs,Pickle Ballers,BB,3,17,
,Su's Crew,Smash Bros,BB,3,6,
,Sanghavi Smashers,Giants,BB,3,18,
,Legends,Pickle Pals,BB,3,9,
,Paddle Battle,Dink Responsibly,BB,3,11,
,Modani Mavericks,Grand Slammers,BB,3,13,
9.00-9.30,Paramount Rangers,Maru Royals,AA,3,14,
,Dink Dawgs,Pickle Ballers,AA,3,16,
,Su's Crew,Smash Bros,AA,3,5,
,Sanghavi Smashers,Giants,AA,3,7,
,Legends,Pickle Pals,AA,3,8,
,Paddle Battle,Dink Responsibly,AA,3,10,
,Modani Mavericks,Grand Slammers,AA,3,12,
,Paramount Rangers,Maru Royals,CW,3,15,
,Dink Dawgs,Pickle Ballers,CW,3,17,
,Su's Crew,Smash Bros,CW,3,6,
,Sanghavi Smashers,Giants,CW,3,18,
,Legends,Pickle Pals,CW,3,9,
,Paddle Battle,Dink Responsibly,CW,3,11,
,Modani Mavericks,Grand Slammers,CW,3,13,
BREAK (15 Mins),,,,,,
9.45-10.15,Pickle Pals,Dink Responsibly,AB,2,14,SESSION 2
,Giants,Grand Slammers,AB,2,16,
,Sanghavi Smashers,Legends,AB,2,5,
,Pickle Ballers,Smash Bros,AB,2,7,
,Maru Royals,Modani Mavericks,AB,2,8,
,Paramount Rangers,Dink Dawgs,AB,2,10,
,Su's Crew,Paddle Battle,AB,2,12,
,Pickle Pals,Dink Responsibly,CC,2,15,
,Giants,Grand Slammers,CC,2,17,
,Sanghavi Smashers,Legends,CC,2,6,
,Pickle Ballers,Smash Bros,CC,2,18,
,Maru Royals,Modani Mavericks,CC,2,9,
,Paramount Rangers,Dink Dawgs,CC,2,11,
,Su's Crew,Paddle Battle,CC,2,13,
10.15-10.45,Pickle Pals,Dink Responsibly,WW,2,14,
,Giants,Grand Slammers,WW,2,16,
,Sanghavi Smashers,Legends,WW,2,5,
,Pickle Ballers,Smash Bros,WW,2,7,
,Maru Royals,Modani Mavericks,WW,2,8,
,Paramount Rangers,Dink Dawgs,WW,2,10,
,Su's Crew,Paddle Battle,WW,2,12,
,Pickle Pals,Dink Responsibly,BB,3,15,
,Giants,Grand Slammers,BB,3,17,
,Sanghavi Smashers,Legends,BB,3,6,
,Pickle Ballers,Smash Bros,BB,3,18,
,Maru Royals,Modani Mavericks,BB,3,9,
,Paramount Rangers,Dink Dawgs,BB,3,11,
,Su's Crew,Paddle Battle,BB,3,13,
10.45-11.15,Pickle Pals,Dink Responsibly,AA,3,14,
,Giants,Grand Slammers,AA,3,16,
,Sanghavi Smashers,Legends,AA,3,5,
,Pickle Ballers,Smash Bros,AA,3,7,
,Maru Royals,Modani Mavericks,AA,3,8,
,Paramount Rangers,Dink Dawgs,AA,3,10,
,Su's Crew,Paddle Battle,AA,3,12,
,Pickle Pals,Dink Responsibly,CW,3,15,
,Giants,Grand Slammers,CW,3,17,
,Sanghavi Smashers,Legends,CW,3,6,
,Pickle Ballers,Smash Bros,CW,3,18,
,Maru Royals,Modani Mavericks,CW,3,9,
,Paramount Rangers,Dink Dawgs,CW,3,11,
,Su's Crew,Paddle Battle,CW,3,13,
LUNCH BREAK (45 Mins),,,,,,
12.00-12.30,Dink Dawgs,Modani Mavericks,AB,2,14,SESSION 3
,Sanghavi Smashers,Pickle Pals,AB,2,16,
,Paramount Rangers,Pickle Ballers,AB,2,5,
,Maru Royals,Su's Crew,AB,2,7,
,Giants,Paddle Battle,AB,2,8,
,Legends,Grand Slammers,AB,2,10,
,Smash Bros,Dink Responsibly,AB,2,12,
,Dink Dawgs,Modani Mavericks,CC,2,15,
,Sanghavi Smashers,Pickle Pals,CC,2,17,
,Paramount Rangers,Pickle Ballers,CC,2,6,
,Maru Royals,Su's Crew,CC,2,18,
,Giants,Paddle Battle,CC,2,9,
,Legends,Grand Slammers,CC,2,11,
,Smash Bros,Dink Responsibly,CC,2,13,
12.30-1.00,Dink Dawgs,Modani Mavericks,WW,2,14,
,Sanghavi Smashers,Pickle Pals,WW,2,16,
,Paramount Rangers,Pickle Ballers,WW,2,5,
,Maru Royals,Su's Crew,WW,2,7,
,Giants,Paddle Battle,WW,2,8,
,Legends,Grand Slammers,WW,2,10,
,Smash Bros,Dink Responsibly,WW,2,12,
,Dink Dawgs,Modani Mavericks,BB,3,15,
,Sanghavi Smashers,Pickle Pals,BB,3,17,
,Paramount Rangers,Pickle Ballers,BB,3,6,
,Maru Royals,Su's Crew,BB,3,18,
,Giants,Paddle Battle,BB,3,9,
,Legends,Grand Slammers,BB,3,11,
,Smash Bros,Dink Responsibly,BB,3,13,
1.00-1.30,Dink Dawgs,Modani Mavericks,AA,3,14,
,Sanghavi Smashers,Pickle Pals,AA,3,16,
,Paramount Rangers,Pickle Ballers,AA,3,5,
,Maru Royals,Su's Crew,AA,3,7,
,Giants,Paddle Battle,AA,3,8,
,Legends,Grand Slammers,AA,3,10,
,Smash Bros,Dink Responsibly,AA,3,12,
,Dink Dawgs,Modani Mavericks,CW,3,15,
,Sanghavi Smashers,Pickle Pals,CW,3,17,
,Paramount Rangers,Pickle Ballers,CW,3,6,
,Maru Royals,Su's Crew,CW,3,18,
,Giants,Paddle Battle,CW,3,9,
,Legends,Grand Slammers,CW,3,11,
,Smash Bros,Dink Responsibly,CW,3,13,
BREAK (15 Mins),,,,,,
1.45-2.15,Legends,Paddle Battle,AB,2,14,SESSION 4
,Modani Mavericks,Smash Bros,AB,2,16,
,Maru Royals,Giants,AB,2,5,
,Grand Slammers,Dink Responsibly,AB,2,7,
,Dink Dawgs,Su's Crew,AB,2,8,
,Pickle Ballers,Pickle Pals,AB,2,10,
,Paramount Rangers,Sanghavi Smashers,AB,2,12,
,Legends,Paddle Battle,CC,2,15,
,Modani Mavericks,Smash Bros,CC,2,17,
,Maru Royals,Giants,CC,2,6,
,Grand Slammers,Dink Responsibly,CC,2,18,
,Dink Dawgs,Su's Crew,CC,2,9,
,Pickle Ballers,Pickle Pals,CC,2,11,
,Paramount Rangers,Sanghavi Smashers,CC,2,13,
2.15-2.45,Legends,Paddle Battle,WW,2,14,
,Modani Mavericks,Smash Bros,WW,2,16,
,Maru Royals,Giants,WW,2,5,
,Grand Slammers,Dink Responsibly,WW,2,7,
,Dink Dawgs,Su's Crew,WW,2,8,
,Pickle Ballers,Pickle Pals,WW,2,10,
